组别	时间	ALT	AST	总胆红素μmol/L
K1-5	48h	65	186	0.5
K1-5	72h	23	82	0.5
K1-6	24h	52	213	0.1
K1-6	48h	57	211	0.1
K1-6	72h	26	131	0.1
G1-1	24h	39	345	0.4
G1-1	48h	42	207	0.1
G1-1	72h	35	186	0.1
G1-2	24h	40	247	1.3
G1-2	48h	57	198	0.9
G1-2	72h	291	557	3
G1-3	24h	46	302	0.1
G1-3	48h	120	307	0.5
G1-3	72h	69	192	0.4
G1-4	24h	38	335	0.5
G1-4	48h	132	338	3
G1-4	72h	562	896	9.6
G1-5	24h	56	371	0.2
G1-5	48h	115	287	0.1
G1-5	72h	411	536	1.2
G1-6	24h	38	221	1.9
G1-6	48h	215	457	5.7
G1-6	72h	856	191	72.5
G1-7	24h	70	306	0.3
G1-7	48h	53	203	0.5
G1-7	72h	38	143	0.3
G1-8	24h	40	357	0.4
G1-8	48h	897	968	1
G1-8	72h	170	304	0.9
G1-9	24h	54	352	0.3
G1-9	48h	580	711	5.1
G1-9	72h	795	416	70.3
G1-10	24h	43	288	0.4
G1-10	48h	69	223	0.4
G1-10	72h	493	659	2
G1-11	24h	52	357	0.1
G1-11	48h	37	177	0.1
G1-11	72h	41	159	0.4
G1-12	24h	37	233	0.1
G1-12	48h	42	189	0.1
G1-12	72h	31	138	0.1
G1-13	24h	57	364	0.3
G1-13	48h	558	687	1.4
G1-13	72h	545	779	1.9
G1-14	24h	42	331	0.3
G1-14	48h	162	281	0.3
G1-14	72h	155	350	1
G1-15	24h	48	237	0.2
G1-15	48h	353	482	0.8
G1-15	72h	106	196	1.3
G1-16	24h	36	322	0.2
G1-16	48h	49	216	0.2
G1-16	72h	24	173	0.2
G1-17	24h	50	459	1.3
G1-17	48h	966	1039	4.4
G1-17	72h	751	931	18.3
G1-18	24h	35	236	0.1
G1-18	48h	223	316	1.5
G1-18	72h	103	211	0.3
G1-19	24h	39	264	0.1
G1-19	48h	45	210	0.1
G1-19	72h	23	171	0.3
G1-20	24h	43	258	1.2
G1-20	48h	352	513	0
G1-20	72h	581	915	2.7
2-1	24h	48	329	0.3
2-1	48h	67	251	2.9
2-1	72h	51	151	1.5
2-2	24h	73	429	0.2
2-2	48h	758	1139	2.5
2-2	72h	331	487	1.4
2-3	24h	68	357	0.3
2-3	48h	143	245	3.9
2-3	72h	231	382	1.5
2-4	24h	56	335	0.1
2-4	48h	286	523	5.4
2-4	72h	247	404	1.2
2-5	24h	54	298	1.1
2-5	48h	441	725	3.1
2-5	72h	665	1192	3
2-6	24h	55	376	0.7
2-6	48h	1137	1052	4.2
2-6	72h	1362	1173	23.1
2-7	24h	63	407	0.4
2-7	48h	289	386	1.1
2-7	72h	123	242	1.6
2-8	24h	54	352	0.7
2-8	48h	709	1049	2.5
2-8	72h	289	536	1.7
2-9	24h	55	300	0.4
2-9	48h	72	202	0.7
2-9	72h	85	225	0.9
2-10	24h	43	346	0.6
2-10	48h	62	196	0.7
2-10	72h	94	230	0.8
2-11	24h	51	379	0.2
2-11	48h	1296	12	16.6
2-11	72h	656	198	18.6
2-12	24h	67	439	0.4
2-12	48h	80	226	0.1
2-12	72h	95	185	2.3
2-13	24h	69	277	0.5
2-13	48h	537	879	8.6
2-13	72h	832	1214	14.2
2-14	24h	52	309	0.1
2-14	48h	300	550	5.2
2-14	72h	508	929	3.5
2-15	24h	58	332	0.2
2-15	48h	1121	159	18.7
2-15	72h	1322	720	19.7
2-16	24h	64	325	0.8
2-16	48h	187	325	0.5
2-16	72h	132	228	1.9
2-17	24h	62	219	0.4
2-17	48h	134	280	0.2
2-17	72h	77	196	1.6
2-18	24h	56	285	0.7
2-18	48h	152	220	0.4
2-18	72h	55	149	0.3
2-19	24h	66	276	0
2-19	48h	164	282	0.8
2-19	72h	83	173	0.5
2-20	24h	73	444	0.4
2-20	48h	144	278	0.1
2-20	72h	0	0	0
