Group	Animal	ALT.24h	ALT.48h	ALT.72h	AST.24h	AST.48h	AST.72h	TBil.24h	TBil.48h	TBil.72h	ALT.rank.24h	ALT.rank.48h	ALT.rank.72h	AST.rank.24h	AST.rank.48h	AST.rank.72h	TBil.rank.24h	TBil.rank.48h	TBil.rank.72h	Mean_rank
2	2-14	52.0	300.0	508.0	309.0	550.0	929.0	0.1	5.2	3.5	3.0	10.0	11.0	7.0	12.0	13.0	2.0	13.0	12.0	11.5
2	2-15	58.0	1121.0	1322.0	332.0	159.0	720.0	0.2	18.7	19.7	9.0	14.0	15.0	9.0	2.0	12.0	3.5	16.0	15.0	10.75
2	2-16	64.0	187.0	132.0	325.0	325.0	228.0	0.8	0.5	1.9	12.0	8.0	8.0	8.0	10.0	7.0	15.0	4.0	9.0	8.25
2	2-17	62.0	134.0	77.0	219.0	280.0	196.0	0.4	0.2	1.6	10.0	4.0	2.0	1.0	8.0	4.0	7.5	2.0	6.5	4.5
2	2-18	56.0	152.0	55.0	285.0	220.0	149.0	0.7	0.4	0.3	8.0	6.0	1.0	4.0	5.0	1.0	13.0	3.0	1.0	3.25
2	2-19	66.0	164.0	83.0	276.0	282.0	173.0	0.0	0.8	0.5	13.0	7.0	3.0	2.0	9.0	2.0	1.0	7.0	2.0	5.25
2	2-3	68.0	143.0	231.0	357.0	245.0	382.0	0.3	3.9	1.5	15.0	5.0	9.0	12.0	7.0	10.0	5.0	11.0	5.0	7.75
2	2-5	54.0	441.0	665.0	298.0	725.0	1192.0	1.1	3.1	3.0	4.5	11.0	13.0	5.0	13.0	15.0	16.0	10.0	11.0	13.0
2	2-6	55.0	1137.0	1362.0	376.0	1052.0	1173.0	0.7	4.2	23.1	6.5	15.0	16.0	13.0	16.0	14.0	13.0	12.0	16.0	15.25
2	2-7	63.0	289.0	123.0	407.0	386.0	242.0	0.4	1.1	1.6	11.0	9.0	7.0	15.0	11.0	9.0	7.5	8.0	6.5	9.0
2	2-8	54.0	709.0	289.0	352.0	1049.0	536.0	0.7	2.5	1.7	4.5	13.0	10.0	11.0	15.0	11.0	13.0	9.0	8.0	12.25
2	2-9	55.0	72.0	85.0	300.0	202.0	225.0	0.4	0.7	0.9	6.5	2.0	4.0	6.0	4.0	6.0	7.5	5.5	4.0	4.0
G	G-10	44.0	286.0	845.0	171.0	431.0	967.0	0.3	0.1	5.8	7.0	14.0	16.0	3.0	13.0	16.0	6.0	1.5	15.0	14.75
G	G-11	46.0	78.0	73.0	165.0	179.0	181.0	0.4	0.1	0.1	8.5	5.5	6.0	1.0	3.0	7.0	8.0	1.5	2.5	5.375
G	G-12	46.0	100.0	50.0	182.0	276.0	148.0	0.4	0.9	0.1	8.5	7.0	2.5	5.0	9.0	4.0	8.0	11.0	2.5	5.625
G	G-13	50.0	519.0	233.0	234.0	639.0	298.0	1.5	1.5	0.4	13.5	15.0	11.0	16.0	15.0	11.0	17.0	13.0	6.0	13.0
G	G-14	66.0	78.0	54.0	213.0	251.0	131.0	1.1	2.5	0.2	16.0	5.5	4.0	12.0	8.0	1.0	16.0	14.0	5.0	4.625
G	G-15	48.0	217.0	1180.0	176.0	154.0	1114.0	1.0	16.4	54.3	11.0	10.0	17.0	4.0	2.0	17.0	14.5	16.0	16.0	11.5
G	G-16	39.0	50.0	817.0	199.0	227.0	675.0	1.0	0.9	120.0	3.0	1.0	15.0	8.0	5.0	14.0	14.5	11.0	17.0	8.75
G	G-17	62.0	1382.0	402.0	217.0	1187.0	537.0	0.6	0.4	2.0	15.0	17.0	12.0	13.0	17.0	12.0	11.5	8.5	11.0	14.5
G	G-18	41.0	575.0	404.0	169.0	800.0	644.0	0.1	0.2	3.6	4.0	16.0	13.0	2.0	16.0	13.0	2.5	4.5	14.0	14.5
G	G-19	38.0	242.0	557.0	231.0	453.0	862.0	0.1	0.2	3.3	2.0	11.5	14.0	15.0	14.0	15.0	2.5	4.5	13.0	13.625
G	G-20	79.0	59.0	44.0	223.0	220.0	133.0	0.7	2.7	0.6	17.0	3.0	1.0	14.0	4.0	2.0	13.0	15.0	7.5	2.5
G	G-3	50.0	119.0	84.0	200.0	306.0	222.0	0.4	0.2	2.6	13.5	8.5	8.0	9.0	11.0	9.0	8.0	4.5	12.0	9.125
G	G-4	43.0	119.0	75.0	206.0	302.0	178.0	0.1	0.3	0.8	5.5	8.5	7.0	10.0	10.0	6.0	2.5	7.0	10.0	7.875
G	G-6	47.0	242.0	71.0	210.0	126.0	173.0	0.5	19.7	0.1	10.0	11.5	5.0	11.0	1.0	5.0	10.0	17.0	2.5	5.625
G	G-7	34.0	247.0	86.0	194.0	325.0	186.0	0.1	0.4	0.6	1.0	13.0	9.0	7.0	12.0	8.0	2.5	8.5	7.5	10.5
G	G-8	43.0	66.0	123.0	247.0	247.0	235.0	0.6	0.2	0.7	5.5	4.0	10.0	17.0	7.0	10.0	11.5	4.5	9.0	7.75
G	G-9	49.0	52.0	50.0	193.0	246.0	145.0	0.2	0.9	0.1	12.0	2.0	2.5	6.0	6.0	3.0	5.0	11.0	2.5	3.375
G1	G1-10	43.0	69.0	493.0	288.0	223.0	659.0	0.4	0.4	2.0	9.5	7.0	13.0	7.0	7.0	14.0	13.5	8.0	13.0	10.25
G1	G1-11	52.0	37.0	41.0	357.0	177.0	159.0	0.1	0.1	0.4	14.0	1.0	5.0	14.5	1.0	3.0	3.0	3.5	6.5	2.5
G1	G1-12	37.0	42.0	31.0	233.0	189.0	138.0	0.1	0.1	0.1	3.0	2.0	3.0	1.0	2.0	1.0	3.0	3.5	1.0	2.0
G1	G1-13	57.0	558.0	545.0	364.0	687.0	779.0	0.3	1.4	1.9	17.0	15.0	14.0	16.0	15.0	15.0	10.5	14.0	12.0	14.75
G1	G1-14	42.0	162.0	155.0	331.0	281.0	350.0	0.3	0.3	1.0	8.0	11.0	9.0	11.0	8.0	10.0	10.5	7.0	9.0	9.5
G1	G1-15	48.0	353.0	106.0	237.0	482.0	196.0	0.2	0.8	1.3	12.0	14.0	8.0	3.0	13.0	7.0	7.0	11.0	11.0	10.5
G1	G1-16	36.0	49.0	24.0	322.0	216.0	173.0	0.2	0.2	0.2	2.0	4.0	2.0	10.0	6.0	5.0	7.0	6.0	2.0	4.25
G1	G1-17	50.0	966.0	751.0	459.0	1039.0	931.0	1.3	4.4	18.3	13.0	18.0	17.0	18.0	18.0	18.0	17.5	17.0	17.0	17.75
G1	G1-18	35.0	223.0	103.0	236.0	316.0	211.0	0.1	1.5	0.3	1.0	12.0	7.0	2.0	11.0	8.0	3.0	15.0	4.0	9.5
G1	G1-19	39.0	45.0	23.0	264.0	210.0	171.0	0.1	0.1	0.3	5.0	3.0	1.0	6.0	5.0	4.0	3.0	3.5	4.0	3.25
G1	G1-2	40.0	57.0	291.0	247.0	198.0	557.0	1.3	0.9	3.0	6.5	6.0	11.0	4.0	3.0	13.0	17.5	12.0	15.0	8.25
G1	G1-20	43.0	352.0	581.0	258.0	513.0	915.0	1.2	0.0	2.7	9.5	13.0	16.0	5.0	14.0	17.0	16.0	1.0	14.0	15.0
G1	G1-3	46.0	120.0	69.0	302.0	307.0	192.0	0.1	0.5	0.4	11.0	9.0	6.0	8.0	10.0	6.0	3.0	9.5	6.5	7.75
G1	G1-4	38.0	132.0	562.0	335.0	338.0	896.0	0.5	3.0	9.6	4.0	10.0	15.0	12.0	12.0	16.0	15.0	16.0	16.0	13.25
