Group	Animal	ALT.24h	ALT.48h	ALT.72h	AST.24h	AST.48h	AST.72h	TBil.24h	TBil.48h	TBil.72h	ALT.rank.24h	ALT.rank.48h	ALT.rank.72h	AST.rank.24h	AST.rank.48h	AST.rank.72h	TBil.rank.24h	TBil.rank.48h	TBil.rank.72h	Mean_rank	alt48q	alt72q	ast48q	ast72q	ValueLow	ValueHigh	Percent	Type
1	1-19	73.0	82.0	94.0	243.0	181.0	189.0	0.3	0.0	0.1	12.0	4.0	3.0	6.0	1.0	1.0	13.0	1.0	1.5	2.25	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	4.0	0.0	0.1323529411764706	l
1	1-2	46.0	79.0	149.0	151.0	206.0	283.0	0.1	0.5	0.8	2.0	3.0	6.0	1.0	2.0	5.5	4.5	7.0	8.0	4.125	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	4.0	0.0	0.2426470588235294	l
1	1-4	44.0	165.0	137.0	205.0	327.0	248.0	0.3	0.6	1.2	1.0	7.0	4.0	3.0	8.0	4.0	13.0	9.0	9.0	5.75	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	2.0	0.0	0.3382352941176471	l
1	1-8	76.0	77.0	68.0	290.0	275.0	228.0	0.2	1.0	0.1	13.5	2.0	1.0	11.0	3.0	3.0	9.0	12.5	1.5	2.25	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	4.0	0.0	0.1323529411764706	l
W	W-12	83.0	357.0	144.0	346.0	751.0	305.0	0.4	1.5	0.1	5.0	20.0	20.0	14.0	20.0	20.0	14.0	20.0	2.0	20.0	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	0.0	4.0	1.0	h
W	W-18	91.0	74.0	59.0	299.0	315.0	154.0	0.1	0.4	0.1	10.5	17.0	11.0	9.0	19.0	10.0	4.5	12.0	2.0	14.25	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	0.0	2.0	0.7125	h
W	W-20	86.0	70.0	72.0	312.0	264.0	184.0	0.1	0.1	3.1	6.5	15.0	16.0	11.0	14.0	18.0	4.5	3.0	20.0	15.75	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	0.0	4.0	0.7875	h
W	W-4	100.0	63.0	68.0	249.0	304.0	162.0	0.2	0.4	1.1	14.0	10.0	14.0	4.0	18.0	15.0	9.5	12.0	16.0	14.25	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	0.0	3.0	0.7125	h
W	W-6	124.0	64.0	56.0	465.0	299.0	160.0	1.0	0.4	0.2	18.0	12.0	8.0	19.0	16.0	13.5	18.0	12.0	5.5	12.375	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	0.0	2.0	0.61875	h
W	W-8	126.0	77.0	61.0	337.0	301.0	155.0	0.3	0.4	1.3	19.0	18.0	12.0	13.0	17.0	11.0	12.0	12.0	18.0	14.5	58.6-64.0	55.6-61.4	222.2-254.8	142.0-158.8	0.0	2.0	0.725	h
G1	G1-13	57.0	558.0	545.0	364.0	687.0	779.0	0.3	1.4	1.9	17.0	15.0	14.0	16.0	15.0	15.0	10.5	14.0	12.0	14.75	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	0.0	4.0	0.8194444444444444	h
G1	G1-17	50.0	966.0	751.0	459.0	1039.0	931.0	1.3	4.4	18.3	13.0	18.0	17.0	18.0	18.0	18.0	17.5	17.0	17.0	17.75	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	0.0	4.0	0.9861111111111112	h
G1	G1-20	43.0	352.0	581.0	258.0	513.0	915.0	1.2	0.0	2.7	9.5	13.0	16.0	5.0	14.0	17.0	16.0	1.0	14.0	15.0	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	0.0	4.0	0.8333333333333334	h
G1	G1-4	38.0	132.0	562.0	335.0	338.0	896.0	0.5	3.0	9.6	4.0	10.0	15.0	12.0	12.0	16.0	15.0	16.0	16.0	13.25	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	0.0	3.0	0.7361111111111112	h
G1	G1-8	40.0	897.0	170.0	357.0	968.0	304.0	0.4	1.0	0.9	6.5	17.0	10.0	14.5	17.0	9.0	13.5	13.0	8.0	13.25	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	0.0	2.0	0.7361111111111112	h
G1	G1-9	54.0	580.0	795.0	352.0	711.0	416.0	0.3	5.1	70.3	15.0	16.0	18.0	13.0	16.0	11.0	10.5	18.0	18.0	15.25	68.4-174.2	101.3-315.0	222.7-320.4	195.8-440.0	0.0	3.0	0.8472222222222222	h
G	G-10	44.0	286.0	845.0	171.0	431.0	967.0	0.3	0.1	5.8	7.0	14.0	16.0	3.0	13.0	16.0	6.0	1.5	15.0	14.75	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	0.0	4.0	0.8676470588235294	h
G	G-13	50.0	519.0	233.0	234.0	639.0	298.0	1.5	1.5	0.4	13.5	15.0	11.0	16.0	15.0	11.0	17.0	13.0	6.0	13.0	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	0.0	4.0	0.7647058823529411	h
G	G-17	62.0	1382.0	402.0	217.0	1187.0	537.0	0.6	0.4	2.0	15.0	17.0	12.0	13.0	17.0	12.0	11.5	8.5	11.0	14.5	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	0.0	4.0	0.8529411764705882	h
G	G-18	41.0	575.0	404.0	169.0	800.0	644.0	0.1	0.2	3.6	4.0	16.0	13.0	2.0	16.0	13.0	2.5	4.5	14.0	14.5	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	0.0	4.0	0.8529411764705882	h
G	G-19	38.0	242.0	557.0	231.0	453.0	862.0	0.1	0.2	3.3	2.0	11.5	14.0	15.0	14.0	15.0	2.5	4.5	13.0	13.625	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	0.0	4.0	0.8014705882352942	h
G	G-7	34.0	247.0	86.0	194.0	325.0	186.0	0.1	0.4	0.6	1.0	13.0	9.0	7.0	12.0	8.0	2.5	8.5	7.5	10.5	91.2-232.0	74.2-189.0	246.6-304.4	179.8-272.8	0.0	2.0	0.6176470588235294	h
2	2-13	69.0	537.0	832.0	277.0	879.0	1214.0	0.5	8.6	14.2	16.0	12.0	14.0	3.0	14.0	16.0	10.0	14.0	13.0	14.0	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	0.0	4.0	0.875	h
2	2-14	52.0	300.0	508.0	309.0	550.0	929.0	0.1	5.2	3.5	3.0	10.0	11.0	7.0	12.0	13.0	2.0	13.0	12.0	11.5	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	0.0	3.0	0.71875	h
2	2-5	54.0	441.0	665.0	298.0	725.0	1192.0	1.1	3.1	3.0	4.5	11.0	13.0	5.0	13.0	15.0	16.0	10.0	11.0	13.0	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	0.0	4.0	0.8125	h
2	2-6	55.0	1137.0	1362.0	376.0	1052.0	1173.0	0.7	4.2	23.1	6.5	15.0	16.0	13.0	16.0	14.0	13.0	12.0	16.0	15.25	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	0.0	4.0	0.953125	h
2	2-8	54.0	709.0	289.0	352.0	1049.0	536.0	0.7	2.5	1.7	4.5	13.0	10.0	11.0	15.0	11.0	13.0	9.0	8.0	12.25	155.0-300.0	102.0-289.0	230.8-325.0	225.8-382.0	0.0	3.0	0.765625	h
1	1-1	70.0	964.0	288.0	198.0	1305.0	480.0	0.1	1.0	1.7	10.0	14.0	10.0	2.0	16.0	9.0	4.5	12.5	10.0	12.25	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0.0	2.0	0.7205882352941176	h
1	1-15	79.0	528.0	378.0	333.0	744.0	514.0	0.3	1.7	2.7	16.0	11.0	11.0	16.0	13.0	10.0	13.0	14.0	13.0	11.25	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0.0	3.0	0.6617647058823529	h
1	1-17	80.0	1040.0	918.0	317.0	479.0	1218.0	0.5	0.5	4.1	17.0	15.0	17.0	14.0	11.0	17.0	17.0	7.0	15.0	15.0	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0.0	4.0	0.8823529411764706	h
1	1-20	48.0	443.0	434.0	332.0	667.0	873.0	0.1	0.2	3.0	3.0	10.0	12.0	15.0	12.0	12.0	4.5	3.5	14.0	11.5	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0.0	3.0	0.6764705882352942	h
1	1-5	60.0	945.0	798.0	224.0	1281.0	1211.0	0.3	4.6	20.7	7.0	13.0	16.0	5.0	15.0	16.0	13.0	16.0	17.0	15.0	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0.0	4.0	0.8823529411764706	h
1	1-6	63.0	1213.0	437.0	266.0	882.0	903.0	0.1	1.8	0.3	8.0	16.0	13.0	7.0	14.0	14.0	4.5	15.0	3.5	14.25	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0.0	4.0	0.8382352941176471	h
1	1-7	55.0	805.0	216.0	310.0	1476.0	418.0	0.1	0.7	1.8	5.0	12.0	7.0	13.0	17.0	8.0	4.5	10.0	11.0	11.0	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0.0	2.0	0.6470588235294118	h
1	1-9	50.0	190.0	456.0	282.0	369.0	880.0	0.3	7.3	0.5	4.0	8.0	14.0	10.0	10.0	13.0	13.0	17.0	5.5	11.25	154.2-494.0	189.2-342.0	318.6-435.0	323.8-530.2	0.0	2.0	0.6617647058823529	h
